"","date","gender","age","min_duration","max_duration","avg_duration","trip_count"
"1",2018-01-01,0,10,801,801,801,1
"2",2018-01-01,0,20,360,456,408,2
"3",2018-01-01,0,30,192,1183,537.416666666667,12
"4",2018-01-01,0,40,83,352662,3382.52559726962,293
"5",2018-01-01,0,50,91,263,188,3
"6",2018-01-01,0,70,423,1275,849,2
"7",2018-01-01,0,130,184,232,208,2
"8",2018-01-01,1,10,142,1433,502.744186046512,43
"9",2018-01-01,1,20,64,49161,641.647948164147,926
"10",2018-01-01,1,30,62,25198,553.826615969582,1315
"11",2018-01-01,1,40,63,2696127,3831.58131067961,824
"12",2018-01-01,1,50,66,4724,582.453957996769,619
"13",2018-01-01,1,60,96,115244,1044.48771929825,285
"14",2018-01-01,1,70,66,2248,541.383333333333,60
"15",2018-01-01,1,80,188,188,188,1
"16",2018-01-01,2,10,79,318,203.5,6
"17",2018-01-01,2,20,115,4412,629.374531835206,267
"18",2018-01-01,2,30,108,2866,583.240469208211,341
"19",2018-01-01,2,40,89,2381,636.73488372093,215
"20",2018-01-01,2,50,81,2146,561.461139896373,193
"21",2018-01-01,2,60,102,2239,533.55,80
"22",2018-01-01,2,70,207,665,397.333333333333,6
"23",2018-01-01,2,80,146,974,553.75,4
"24",2018-01-02,0,10,903,984,943.5,2
"25",2018-01-02,0,20,273,1115,559.833333333333,6
"26",2018-01-02,0,30,62,1462,567.325,40
"27",2018-01-02,0,40,62,85833,1403.97896749522,523
"28",2018-01-02,0,50,198,447,330,3
"29",2018-01-02,0,60,582,1033,809.25,4
"30",2018-01-02,0,70,136,559,304.333333333333,3
"31",2018-01-02,0,130,206,822,538,4
"32",2018-01-02,1,10,114,2436,614.831168831169,77
"33",2018-01-02,1,20,61,6175,548.323087919943,2798
"34",2018-01-02,1,30,62,4426,555.370526315789,4750
"35",2018-01-02,1,40,62,784887,822.008330939385,3481
"36",2018-01-02,1,50,61,11952,623.980270793037,2585
"37",2018-01-02,1,60,62,7615,651.615934627171,979
"38",2018-01-02,1,70,178,3678,760.45045045045,111
"39",2018-01-02,1,80,178,1001,459.75,4
"40",2018-01-02,1,90,174,1651,1088.66666666667,3
"41",2018-01-02,1,100,497,497,497,1
"42",2018-01-02,1,110,1450,1614,1528,3
"43",2018-01-02,2,10,87,1575,522,12
"44",2018-01-02,2,20,72,111500,768.306095979248,771
"45",2018-01-02,2,30,74,148062,800.794938917976,1146
"46",2018-01-02,2,40,62,90765,796.642647058824,680
"47",2018-01-02,2,50,64,2571,644.777391304348,575
"48",2018-01-02,2,60,96,2529,697.990697674419,215
"49",2018-01-02,2,70,163,4557,805.589743589744,39
"50",2018-01-02,2,80,247,869,636.666666666667,3
"51",2018-01-03,0,10,183,777,373.75,4
"52",2018-01-03,0,20,266,2110,852,10
"53",2018-01-03,0,30,156,2376,607.365384615385,52
"54",2018-01-03,0,40,67,414539,1626.3,660
"55",2018-01-03,0,50,106,1092,468.125,8
"56",2018-01-03,0,60,225,948,489.25,8
"57",2018-01-03,0,70,208,1285,676.142857142857,7
"58",2018-01-03,0,130,77,812,564.6,5
"59",2018-01-03,1,10,79,2053,530.61797752809,89
"60",2018-01-03,1,20,64,12613,558.451559020045,3592
"61",2018-01-03,1,30,61,146590,595.930870279146,6090
"62",2018-01-03,1,40,62,494894,750.772456461961,4364
"63",2018-01-03,1,50,63,26928,647.140731556107,3226
"64",2018-01-03,1,60,61,4230,648.227094753328,1277
"65",2018-01-03,1,70,62,14461,743.644808743169,183
"66",2018-01-03,1,80,197,320,270,3
"67",2018-01-03,1,90,186,1660,610.25,4
"68",2018-01-03,1,110,72,1548,577.5,12
"69",2018-01-03,2,10,79,1143,387.4,15
"70",2018-01-03,2,20,73,16259,635.825412221145,1031
"71",2018-01-03,2,30,64,20842,643.788852459016,1525
