"Pickup_Date","Pickup_Hour","Pickup_Loc","Zone","min_duration","max_duration","avg_duration","yc_trip_count"
2018-11-01,1,229,"Sutton Place/Turtle Bay North",94,2209,536.650793650794,63
2018-11-01,1,230,"Times Sq/Theatre District",0,2396,656.273631840796,201
2018-11-01,1,231,"TriBeCa/Civic Center",3,2893,755.277372262774,137
2018-11-01,1,232,"Two Bridges/Seward Park",357,1894,827.185185185185,27
2018-11-01,1,233,"UN/Turtle Bay South",8,1662,535.46511627907,43
2018-11-01,1,234,"Union Sq",7,3395,699.642335766423,274
2018-11-01,1,236,"Upper East Side North",2,1182,298.666666666667,21
2018-11-01,1,237,"Upper East Side South",84,1414,593.48275862069,58
2018-11-01,1,238,"Upper West Side North",8,1414,499.840909090909,44
2018-11-01,1,239,"Upper West Side South",8,86114,2460.3829787234,47
2018-11-01,1,243,"Washington Heights North",396,1049,704.75,4
2018-11-01,1,244,"Washington Heights South",0,1008,440.222222222222,18
2018-11-01,1,246,"West Chelsea/Hudson Yards",3,2112,729.595041322314,242
2018-11-01,1,249,"West Village",14,84187,1001.01715686275,408
2018-11-01,1,261,"World Trade Center",0,2573,887.952380952381,42
2018-11-01,1,262,"Yorkville East",157,761,456.3125,16
2018-11-01,1,263,"Yorkville West",3,2012,549.714285714286,56
2018-11-01,2,4,"Alphabet City",224,1964,845.521739130435,23
2018-11-01,2,12,"Battery Park",855,855,855,1
2018-11-01,2,13,"Battery Park City",395,1035,664.7,10
2018-11-01,2,24,"Bloomingdale",150,1042,395.583333333333,12
2018-11-01,2,41,"Central Harlem",92,1060,567.352941176471,17
2018-11-01,2,42,"Central Harlem North",214,1007,580.7,10
2018-11-01,2,43,"Central Park",590,590,590,1
2018-11-01,2,45,"Chinatown",152,85926,3562.20689655172,29
2018-11-01,2,48,"Clinton East",4,3361,606.654618473896,249
2018-11-01,2,50,"Clinton West",3,1861,604.430769230769,65
2018-11-01,2,68,"East Chelsea",43,84618,990.552727272727,275
2018-11-01,2,74,"East Harlem North",9,986,407.473684210526,19
2018-11-01,2,75,"East Harlem South",64,1007,371.529411764706,17
2018-11-01,2,79,"East Village",14,2781,659.322033898305,413
2018-11-01,2,87,"Financial District North",6,1666,730.95,20
2018-11-01,2,88,"Financial District South",278,1720,914.733333333333,15
2018-11-01,2,90,"Flatiron",50,85858,1233.86301369863,146
2018-11-01,2,100,"Garment District",76,3137,692.417721518987,79
2018-11-01,2,107,"Gramercy",100,2161,649.342105263158,114
2018-11-01,2,113,"Greenwich Village North",101,77517,1540.5306122449,98
2018-11-01,2,114,"Greenwich Village South",0,3030,850.18253968254,252
2018-11-01,2,116,"Hamilton Heights",142,1008,563.333333333333,12
2018-11-01,2,125,"Hudson Sq",7,2534,643.235294117647,51
2018-11-01,2,127,"Inwood",170,1672,921,2
2018-11-01,2,137,"Kips Bay",44,1321,549.225806451613,31
2018-11-01,2,140,"Lenox Hill East",111,1652,551.818181818182,11
2018-11-01,2,141,"Lenox Hill West",128,2171,642.482142857143,56
2018-11-01,2,142,"Lincoln Square East",271,1753,734.222222222222,27
2018-11-01,2,143,"Lincoln Square West",13,722,322.333333333333,6
2018-11-01,2,144,"Little Italy/NoLiTa",49,2404,660.864,125
2018-11-01,2,148,"Lower East Side",20,82388,885.28028503563,421
2018-11-01,2,151,"Manhattan Valley",49,85552,5820,16
2018-11-01,2,152,"Manhattanville",155,1077,479.285714285714,7
2018-11-01,2,158,"Meatpacking/West Village West",14,85987,1199.6487804878,205
2018-11-01,2,161,"Midtown Center",91,4080,607.727272727273,77
2018-11-01,2,162,"Midtown East",32,2427,591.076190476191,105
2018-11-01,2,163,"Midtown North",59,2727,645.064935064935,77
2018-11-01,2,164,"Midtown South",64,2146,691.906666666667,150
2018-11-01,2,166,"Morningside Heights",405,1609,712.444444444444,9
2018-11-01,2,170,"Murray Hill",8,76410,1195.97014925373,134
2018-11-01,2,186,"Penn Station/Madison Sq West",75,2038,705.487179487179,117
2018-11-01,2,209,"Seaport",169,83599,8372.45454545455,11
2018-11-01,2,211,"SoHo",0,1754,531.363636363636,44
2018-11-01,2,224,"Stuy Town/Peter Cooper Village",162,593,444,3
2018-11-01,2,229,"Sutton Place/Turtle Bay North",120,1179,547.51724137931,29
2018-11-01,2,230,"Times Sq/Theatre District",70,2002,678.034482758621,145
2018-11-01,2,231,"TriBeCa/Civic Center",23,2170,686.631578947368,95
2018-11-01,2,232,"Two Bridges/Seward Park",102,1597,764.285714285714,21
2018-11-01,2,233,"UN/Turtle Bay South",49,1981,705.684210526316,19
2018-11-01,2,234,"Union Sq",2,2461,702.765306122449,196
